city,lat,lon,d0_wind_speed,d1_wind_speed,d2_wind_speed,d3_wind_speed,d4_wind_speed,d5_wind_speed,d6_wind_speed,d7_wind_speed,avg_wind_speed,d0_pop,d1_pop,d2_pop,d3_pop,d4_pop,d5_pop,d6_pop,d7_pop,avg_pop,d0_temp,d1_temp,d2_temp,d3_temp,d4_temp,d5_temp,d6_temp,d7_temp,avg_temp_day,score,city_id
Mont Saint Michel,48.6359541,-1.511459954959514,7.21,14.15,13.22,7.62,6.59,6.02,11.53,6.11,9.06,0.74,1.0,0.9,0.12,0.32,0.09,0.24,0.0,0.426,18.17,18.42,15.86,18.1,20.32,20.69,16.73,17.0,18.16,1.34,1000
St Malo,48.649518,-2.0260409,7.78,14.96,15.1,8.02,8.56,7.03,12.82,7.41,10.21,0.44,1.0,0.73,0.12,0.25,0.22,0.04,0.0,0.35,18.15,17.97,16.77,17.69,19.94,19.63,16.52,17.03,17.96,1.25,1001
Bayeux,49.2764624,-0.7024738,7.95,12.79,13.99,6.46,7.06,6.45,12.32,6.59,9.2,0.25,1.0,0.91,0.23,0.39,0.31,0.0,0.0,0.386,17.61,18.63,15.27,17.63,20.67,21.13,20.04,16.79,18.47,1.68,1002
Le Havre,49.4938975,0.1079732,8.93,14.74,14.57,7.82,7.16,6.96,12.7,8.21,10.14,0.13,1.0,0.8,0.46,0.29,0.26,0.2,0.0,0.392,17.5,18.42,15.95,16.84,18.99,19.56,20.35,16.28,17.99,1.06,1003
Rouen,49.4404591,1.0939658,5.88,9.78,10.06,5.46,4.85,5.61,8.61,4.87,6.89,0.05,1.0,0.55,0.1,0.22,0.31,0.0,0.0,0.279,18.95,18.32,17.36,18.05,20.85,21.62,23.04,17.34,19.44,3.61,1004
Paris,48.8588897,2.3200410217200766,4.49,7.52,7.16,4.93,4.07,4.0,6.02,3.65,5.23,0.0,0.56,0.31,0.0,0.03,0.2,0.0,0.0,0.138,19.58,21.12,18.77,18.3,21.83,22.89,24.83,18.58,20.74,5.67,1005
Amiens,49.8941708,2.2956951,5.99,9.72,10.02,5.58,5.43,5.61,7.86,5.12,6.92,0.02,1.0,0.8,0.07,0.0,0.23,0.0,0.0,0.265,18.37,19.11,18.03,17.65,20.58,21.02,23.97,17.82,19.57,3.75,1006
Lille,50.6365654,3.0635282,6.06,7.71,10.08,6.06,5.21,5.14,7.64,5.3,6.65,0.04,1.0,1.0,0.06,0.0,0.0,0.0,0.0,0.262,18.3,17.8,18.33,16.7,19.56,20.9,22.95,17.31,18.98,3.55,1007
Strasbourg,48.584614,7.7507127,5.89,7.39,9.98,3.41,3.67,3.31,2.96,2.3,4.86,0.92,1.0,1.0,0.57,0.69,0.0,0.0,0.05,0.529,18.87,19.14,17.52,17.51,20.5,21.89,20.98,18.88,19.41,2.91,1008
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,2.68,4.8,4.23,2.27,2.53,2.31,2.04,1.69,2.82,1.0,1.0,1.0,0.61,0.5,0.0,0.0,0.06,0.521,16.62,17.39,15.49,15.4,18.77,21.23,19.81,16.43,17.64,2.75,1009
