hotel_city,hotel_name,hotel_score,hotel_desc,hotel_url,lat,lon
Montauban,Castel Bois Marie,9.3,Deluxe King Suite,https://www.booking.com/hotel/fr/castel-bois-marie.en-gb.html,43.979174,1.309142
Montauban,Abbaye des Capucins Spa & Resort,8.2,Double Room Tradition,https://www.booking.com/hotel/fr/abbaye-des-capucins-spa-and-resort.en-gb.html,44.02054293,1.34956688
Montauban,Manoir de la Gravette Maison d'Hôtes,9.6,Deluxe Double Room,https://www.booking.com/hotel/fr/le-manoir-de-la-gravette.en-gb.html,44.04904337,1.34388352
Montauban,room five MONTAUBAN,9.5,One-Bedroom Apartment,https://www.booking.com/hotel/fr/room-five-montauban.en-gb.html,44.01786547,1.35385925
Montauban,Le Clos de Saint Amour,8.8,Family Room Cupidon,https://www.booking.com/hotel/fr/le-clos-de-saint-amour.en-gb.html,44.02487667,1.3928175
Collioure,Hôtel La Casa Pairal,8.8,Collection Double Room,https://www.booking.com/hotel/fr/hotelcasapairal.en-gb.html,42.52616733,3.08235571
Aix-en-Provence,Renaissance Aix-en-Provence Hotel,8.2,Superior King Room,https://www.booking.com/hotel/fr/renaissance-aix-en-provence.en-gb.html,43.52624048,5.43820493
Cassis,Hôtel Les Roches Blanches Cassis,8.7,Deluxe Room,https://www.booking.com/hotel/fr/des-roches-blanches.en-gb.html,43.211337,5.529502
Montauban,Kyriad Montauban Sud - Albasud,6.5,Double Room,https://www.booking.com/hotel/fr/hoteletrestaurantcampanilemontauban.en-gb.html,43.98204027,1.33269846
Montauban,Brit Hotel Confort Montauban,7.6,Standard Double Room,https://www.booking.com/hotel/fr/deltour-montauban-city.en-gb.html,43.98081084,1.33039445
Montauban,Les Loges de Montauban,9.0,One-Bedroom Apartment,https://www.booking.com/hotel/fr/les-loges-de-montauban.en-gb.html,44.01646338,1.35795479
Montauban,Hotel Kyriad Montauban,7.4,Double Room,https://www.booking.com/hotel/fr/kyriad-montauban-montauban.en-gb.html,44.04666211,1.39004409
Montauban,En toute intimité dans le centre historique,9.0,One-Bedroom Apartment,https://www.booking.com/hotel/fr/en-toute-intimite-dans-le-centre-historique.en-gb.html,44.0175635,1.3551575
