hotel_city,hotel_name,hotel_score,hotel_desc,hotel_url
Montauban,Castel Bois Marie,9.3,Deluxe King Suite,https://www.booking.com/hotel/fr/castel-bois-marie.en-gb.html
Montauban,Abbaye des Capucins Spa & Resort,8.2,Double Room Tradition,https://www.booking.com/hotel/fr/abbaye-des-capucins-spa-and-resort.en-gb.html
Montauban,Manoir de la Gravette Maison d'Hôtes,9.6,Deluxe Double Room,https://www.booking.com/hotel/fr/le-manoir-de-la-gravette.en-gb.html
Montauban,room five MONTAUBAN,9.5,One-Bedroom Apartment,https://www.booking.com/hotel/fr/room-five-montauban.en-gb.html
Montauban,Le Clos de Saint Amour,8.8,Family Room Cupidon,https://www.booking.com/hotel/fr/le-clos-de-saint-amour.en-gb.html
Collioure,Hôtel La Casa Pairal,8.8,Collection Double Room,https://www.booking.com/hotel/fr/hotelcasapairal.en-gb.html
Aix-en-Provence,Renaissance Aix-en-Provence Hotel,8.2,Superior King Room,https://www.booking.com/hotel/fr/renaissance-aix-en-provence.en-gb.html
Cassis,Hôtel Les Roches Blanches Cassis,8.7,Deluxe Room,https://www.booking.com/hotel/fr/des-roches-blanches.en-gb.html
Montauban,Kyriad Montauban Sud - Albasud,6.5,Double Room,https://www.booking.com/hotel/fr/hoteletrestaurantcampanilemontauban.en-gb.html
Montauban,Brit Hotel Confort Montauban,7.6,Standard Double Room,https://www.booking.com/hotel/fr/deltour-montauban-city.en-gb.html
Montauban,Les Loges de Montauban,9.0,One-Bedroom Apartment,https://www.booking.com/hotel/fr/les-loges-de-montauban.en-gb.html
Montauban,Hotel Kyriad Montauban,7.4,Double Room,https://www.booking.com/hotel/fr/kyriad-montauban-montauban.en-gb.html
Montauban,En toute intimité dans le centre historique,9.0,One-Bedroom Apartment,https://www.booking.com/hotel/fr/en-toute-intimite-dans-le-centre-historique.en-gb.html
Montauban,Domaine de Belcayre,8.9,Double Room,https://www.booking.com/hotel/fr/domaine-de-belcayre.en-gb.html
Collioure,Les Roches Brunes,9.0,Double Room with Sea View,https://www.booking.com/hotel/fr/les-roches-brunes-collioure.en-gb.html
Collioure,Le Relais Des Trois Mas,8.7,Comfort Double Room Without Balcony,https://www.booking.com/hotel/fr/le-relais-des-trois-mas.en-gb.html
Collioure,L'équinoxe,9.4,Three-Bedroom Apartment,https://www.booking.com/hotel/fr/l-39-equinoxe.en-gb.html
Collioure,Le Machado,8.6,Deluxe Apartment,https://www.booking.com/hotel/fr/le-machado.en-gb.html
Collioure,Mas de la Croette Collioure,,Villa with Private Pool,https://www.booking.com/hotel/fr/mas-de-la-croette-collioure.en-gb.html
Aix-en-Provence,Les Lodges Sainte-Victoire Hotel & Spa,9.0,Deluxe Double Room with Free Spa Access,https://www.booking.com/hotel/fr/les-lodges-sainte-victoire.en-gb.html
Aix-en-Provence,Villa Saint-Ange,9.3,Standard Double or Twin Room,https://www.booking.com/hotel/fr/villa-saint-ange.en-gb.html
Aix-en-Provence,Le Pigonnet - Esprit de France,8.5,Classic Double Room,https://www.booking.com/hotel/fr/le-pigonnet.en-gb.html
Aix-en-Provence,Château de la Gaude,9.0,Deluxe Room,https://www.booking.com/hotel/fr/chateau-de-la-gaude.en-gb.html
Aix-en-Provence,Villa Gallici Hôtel & Spa,9.1,Classic Double Room with Free Spa Access,https://www.booking.com/hotel/fr/villagallici.en-gb.html
Aix-en-Provence,Aquabella Hôtel & Spa,8.4,Comfort Double Room,https://www.booking.com/hotel/fr/hotel-aquabella.en-gb.html
Cassis,Apartment Avenue Des Terrasses,8.9,Apartment - Ground Floor,https://www.booking.com/hotel/fr/apartment-avenue-des-terrasses.en-gb.html
Cassis,Domaine Maraspar Cassis,,Holiday Home,https://www.booking.com/hotel/fr/domaine-maraspar-cassis.en-gb.html
Cassis,Caro à Cassis,8.2,Three-Bedroom Apartment,https://www.booking.com/hotel/fr/caro-a-cassis.en-gb.html
Cassis,Les Jardins de Cassis,7.8,Double Room,https://www.booking.com/hotel/fr/les-jardins-de-cassis.en-gb.html
Cassis,Villa Le Sud,9.4,Double Room,https://www.booking.com/hotel/fr/villa-le-sud-cassis.en-gb.html
Cassis,Best Western Hotel & SPA Coeur De Cassis,8.1,Classic Queen Room,https://www.booking.com/hotel/fr/du-grand-jardin.en-gb.html
Montauban,Le Central,7.6,Two-Bedroom Apartment,https://www.booking.com/hotel/fr/le-central-montauban.en-gb.html
Montauban,Suite privée avec piscine,8.1,One-Bedroom Apartment,https://www.booking.com/hotel/fr/suite-privee-avec-piscine.en-gb.html
Montauban,2 appartements Rue du greffe,8.6,One-Bedroom Apartment,https://www.booking.com/hotel/fr/authentic-night-montauban.en-gb.html
Montauban,Logement 2 chambres - Hypercentre Montauban,,Two-Bedroom Apartment,https://www.booking.com/hotel/fr/montauban.en-gb.html
Montauban,Charmant appartement 6 personnes - 1 min à pied hypercentre Montauban,,Two-Bedroom Apartment,https://www.booking.com/hotel/fr/appartement-chourfi.en-gb.html
Collioure,Hôtel Princes de Catalogne,7.9,Standard Double or Twin Room,https://www.booking.com/hotel/fr/princes-de-catalogne.en-gb.html
Collioure,Hotel Le Bon Port,8.1,Double Room with Sea View,https://www.booking.com/hotel/fr/le-bon-port.en-gb.html
Collioure,Le Mas des Citronniers,8.0,Classic Double Room,https://www.booking.com/hotel/fr/lesmasdescitronniers.en-gb.html
Collioure,La Frégate,8.2,Superior Double Room,https://www.booking.com/hotel/fr/la-fra-c-gate-collioure.en-gb.html
Collioure,Hotel Méditerranée,7.7,Double Room,https://www.booking.com/hotel/fr/mediterranee-collioure.en-gb.html
Aix-en-Provence,Hôtel Cézanne Boutique-Hôtel,8.1,Superior Double Room,https://www.booking.com/hotel/fr/cezanne-aix-en-provence.en-gb.html
Aix-en-Provence,Negrecoste Hôtel & Spa,7.7,Classic Double Room,https://www.booking.com/hotel/fr/grand-negre-coste.en-gb.html
Aix-en-Provence,Golden Tulip Aix en Provence,8.0,Superior Queen Room,https://www.booking.com/hotel/fr/golden-tulip-aix-en-provence.en-gb.html
Aix-en-Provence,Grand Hôtel Roi René Aix en Provence Centre - MGallery,7.8,Classic Double Room,https://www.booking.com/hotel/fr/grand-mercure-roi-rene.en-gb.html
Aix-en-Provence,Aparthotel Adagio Aix-en-Provence Centre,8.4,Superior Apartment with Balcony,https://www.booking.com/hotel/fr/pierre-vacances-city-centre.en-gb.html
Cassis,"Hôtel et Appartement ""Le Maguy""",8.7,Studio with Mountain View,https://www.booking.com/hotel/fr/ha-tel-de-france-maguy.en-gb.html
Cassis,Studio Calendal,7.2,Studio Apartment,https://www.booking.com/hotel/fr/studio-calendal.en-gb.html
Cassis,Hotel de La Plage - Mahogany,7.9,Double Room with Garden View,https://www.booking.com/hotel/fr/de-la-plage-cassis.en-gb.html
Cassis,Royal Cottage,8.2,Superior Double Room with Terrace,https://www.booking.com/hotel/fr/royal-cottage.en-gb.html
Cassis,Best Western Plus Hôtel la Rade,8.0,Comfort Queen Room,https://www.booking.com/hotel/fr/la-rade-cassis.en-gb.html
Montauban,In Town by BNB Conciergerie Montauban,9.0,Studio Apartment,https://www.booking.com/hotel/fr/le-in-town-by-bnb-conciergerie-montauban.en-gb.html
Montauban,L'Escale des Libellules by BNB Conciergerie Mtban,10,Apartment,https://www.booking.com/hotel/fr/escale-des-libellules-by-bnb-conciergerie-mtban.en-gb.html
Montauban,Moustier,8.6,One-Bedroom Apartment,https://www.booking.com/hotel/fr/moustier.en-gb.html
Montauban,COSYment parfait,8.1,Apartment,https://www.booking.com/hotel/fr/cosyment-parfait.en-gb.html
Montauban,L'intimiste by BNB Conciergerie Montauban,8.5,Studio with Sofa Bed,https://www.booking.com/hotel/fr/intimiste-by-bnb-conciergerie-montauban.en-gb.html
Collioure,Ibanova Appartements,8.4,Studio Apartment,https://www.booking.com/hotel/fr/ibanova.en-gb.html
Collioure,Le Clos Saint Elme,7.9,Large Double Room,https://www.booking.com/hotel/fr/les-lauriers-roses-collioure.en-gb.html
Collioure,Le Madeloc Hôtel & Spa,8.8,Standard Room,https://www.booking.com/hotel/fr/madeloc.en-gb.html
Collioure,Appartement fonctionnel hauteurs de Collioure,7.8,One-Bedroom Apartment,https://www.booking.com/hotel/fr/appartement-fonctionnel-a-collioure.en-gb.html
Collioure,Résidence du Soleil,7.8,Apartment,https://www.booking.com/hotel/fr/residence-du-soleil-collioure.en-gb.html
Collioure,Les Chênes-lièges d'Ambeille,8.0,One-Bedroom Apartment,https://www.booking.com/hotel/fr/chenes-lieges.en-gb.html
Aix-en-Provence,Novotel Aix-en-Provence Pont de L'Arc,7.0,Classic Room with One Double Bed and One Sofa,https://www.booking.com/hotel/fr/aix-en-provence-pont-de-l-arc-fenouilleres.en-gb.html
Aix-en-Provence,Maison Jalon,9.6,Double Room with Pool View,https://www.booking.com/hotel/fr/maison-jalon.en-gb.html
Aix-en-Provence,Hôtel Birdy by Happyculture,8.0,Standard Twin Room,https://www.booking.com/hotel/fr/royal-mirabeau.en-gb.html
Aix-en-Provence,La Bastide de Ganay,8.9,Double Room,https://www.booking.com/hotel/fr/la-bastide-de-ganay-aix-en-provence123456789101112.en-gb.html
Aix-en-Provence,Les Suites du Cours & Spa,9.1,Deluxe Suite with Balcony,https://www.booking.com/hotel/fr/les-suites-du-cours.en-gb.html
Cassis,La Rade,8.8,Apartment with Sea View,https://www.booking.com/hotel/fr/la-rade-cassis1.en-gb.html
