hotel_name,lat,lon
room five MONTAUBAN,44.01786547,1.35385925
Hôtel La Casa Pairal,42.52616733,3.08235571
Hôtel Les Roches Blanches Cassis,43.21133700,5.52950200
Renaissance Aix-en-Provence Hotel,43.52624048,5.43820493
Castel Bois Marie,43.97917400,1.30914200
Manoir de la Gravette Maison d'Hôtes,44.04904337,1.34388352
Abbaye des Capucins Spa & Resort,44.02054293,1.34956688
Le Clos de Saint Amour,44.02487667,1.39281750
Kyriad Montauban Sud - Albasud,43.98204027,1.33269846
Les Loges de Montauban,44.01646338,1.35795479
Brit Hotel Confort Montauban,43.98081084,1.33039445
Domaine de Belcayre,43.99404175,1.37536302
Les Roches Brunes,42.52534777,3.09032446
En toute intimité dans le centre historique,44.01756350,1.35515750
Hotel Kyriad Montauban,44.04666211,1.39004409
Le Relais Des Trois Mas,42.52417281,3.08931068
L'équinoxe,42.52715790,3.08326890
Le Machado,42.52613521,3.08221858
Mas de la Croette Collioure,42.52173350,3.07287380
Villa Saint-Ange,43.52306800,5.45769900
Le Pigonnet - Esprit de France,43.51886697,5.44161469
Château de la Gaude,43.56879000,5.47851000
Aquabella Hôtel & Spa,43.53126360,5.44507004
Les Lodges Sainte-Victoire Hotel & Spa,43.52116980,5.49659729
Apartment Avenue Des Terrasses,43.22875335,5.53267070
Domaine Maraspar Cassis,43.21251500,5.55260400
Villa Gallici Hôtel & Spa,43.53610103,5.44878814
Caro à Cassis,43.21358093,5.54112803
Villa Le Sud,43.23304906,5.55305108
Le Central,44.01927605,1.36155604
Logement 2 chambres - Hypercentre Montauban,44.01578310,1.35598520
Best Western Hotel & SPA Coeur De Cassis,43.21457326,5.54014698
Suite privée avec piscine,44.04776511,1.35040889
Les Jardins de Cassis,43.22184049,5.54338490
2 appartements Rue du greffe,44.01703937,1.35448361
Charmant appartement 6 personnes - 1 min à pied hypercentre Montauban,44.02061690,1.35606060
Hôtel Princes de Catalogne,42.52591431,3.08268160
La Frégate,42.52638625,3.08325659
Hotel Méditerranée,42.52708254,3.08026291
Hotel Le Bon Port,42.52411449,3.08936566
Le Mas des Citronniers,42.52538159,3.08256391
Hôtel Cézanne Boutique-Hôtel,43.52356201,5.44593707
Negrecoste Hôtel & Spa,43.52684969,5.44901088
Grand Hôtel Roi René Aix en Provence Centre - MGallery,43.52332474,5.44972569
Golden Tulip Aix en Provence,43.52879731,5.42567968
Studio Calendal,43.21502645,5.54086153
Hotel de La Plage - Mahogany,43.21334946,5.53126283
Aparthotel Adagio Aix-en-Provence Centre,43.52890621,5.44086903
Royal Cottage,43.21622493,5.54290026
L'Escale des Libellules by BNB Conciergerie Mtban,44.01692547,1.35552350
"Hôtel et Appartement ""Le Maguy""",43.21330450,5.54191589
In Town by BNB Conciergerie Montauban,44.01496720,1.35499620
Best Western Plus Hôtel la Rade,43.21522997,5.53369693
Ibanova Appartements,42.52313330,3.08557610
COSYment parfait,44.01791946,1.35180471
Moustier,44.01036765,1.35776259
L'intimiste by BNB Conciergerie Montauban,44.02508340,1.36823230
Appartement fonctionnel hauteurs de Collioure,42.52181349,3.07335784
Résidence du Soleil,42.52311754,3.08542530
Le Madeloc Hôtel & Spa,42.52876467,3.07865426
Le Clos Saint Elme,42.52328654,3.08136290
Les Chênes-lièges d'Ambeille,42.52396992,3.07731113
Maison Jalon,43.57323483,5.41837934
Hôtel Birdy by Happyculture,43.48142972,5.36561430
Novotel Aix-en-Provence Pont de L'Arc,43.51169339,5.45698643
La Bastide de Ganay,43.60567000,5.42520000
Les Suites du Cours & Spa,43.52697234,5.44928754
La Rade,43.21534787,5.53474903
Chez Mamouska,43.21057500,5.54791300
