hotel_name,lat,lon
Hotel Loreak,43.49349109,-1.45263344
Hôtel Villa KOEGUI Bayonne,43.49237100,-1.47258800
Okko Hotels Bayonne Centre,43.49534430,-1.48251180
Temporesidence Cathedrale,43.48954193,-1.47812448
Hôtel Le Bayonne,43.48502620,-1.47537053
Hôtel Mercure Bayonne Centre Le Grand Hotel,43.49231191,-1.47660971
Villa la Renaissance,43.48232100,-1.46816400
Hôtel des Basses Pyrénées - Bayonne,43.48841135,-1.47714337
Baiona,43.48722000,-1.46584000
Bayonne en plein cœur Centre Historique 2 chambres,43.48906990,-1.47552260
ibis Styles Bayonne,43.49540574,-1.47082418
Temporesidence Chateauneuf,43.48991068,-1.47314027
Boutique Hôtel Un Appart en Ville,43.49092250,-1.47744120
Campanile Bayonne,43.49112493,-1.45484090
Villa AJNA Bayonne,43.48392100,-1.49821200
Baionakoa Résidence,43.48982756,-1.47692958
"Appartement Bayonne, 3 pièces, 4 personnes - FR-1-239-736",43.47842440,-1.48599690
T2 BASQUE BAYONNE,43.49723939,-1.46778730
Agréable Maison T4 Classée 3 étoiles,43.50588890,-1.48599410
Suite océan,43.47519560,-1.48490420
T2 au coeur de Bayonne,43.49083593,-1.47321415
Duplex Typique Centre Bayonne,43.48989400,-1.47389200
Appartement au cœur du centre historique,43.49033980,-1.47358020
Bakea St Esprit T3 rénové,43.49235818,-1.46532047
ibis budget Bayonne,43.48908262,-1.45717809
Abbaye des Capucins Spa & Resort,44.02054293,1.34956688
room five MONTAUBAN,44.01786547,1.35385925
Manoir de la Gravette Maison d'Hôtes,44.04904337,1.34388352
Castel Bois Marie,43.97917400,1.30914200
Brit Hotel Confort Montauban,43.98081084,1.33039445
Le Clos de Saint Amour,44.02487667,1.39281750
Renaissance Aix-en-Provence Hotel,43.52624048,5.43820493
Hôtel La Casa Pairal,42.52616733,3.08235571
Kyriad Montauban Sud - Albasud,43.98204027,1.33269846
Les Loges de Montauban,44.01646338,1.35795479
Pullman Toulouse Centre Ramblas,43.60854242,1.45334423
En toute intimité dans le centre historique,44.01756350,1.35515750
Hotel Kyriad Montauban,44.04666211,1.39004409
Domaine de Belcayre,43.99404175,1.37536302
Les Lodges Sainte-Victoire Hotel & Spa,43.52116980,5.49659729
Villa Saint-Ange,43.52306800,5.45769900
Château de la Gaude,43.56879000,5.47851000
Aquabella Hôtel & Spa,43.53126360,5.44507004
Le Pigonnet - Esprit de France,43.51886697,5.44161469
La Cour des Consuls Hotel and Spa Toulouse - MGallery,43.59940551,1.44159153
Villa Gallici Hôtel & Spa,43.53610103,5.44878814
Mercure Toulouse Centre Saint-Georges,43.60332861,1.44823596
"Crowne Plaza Toulouse, an IHG Hotel",43.60373649,1.44275352
Néméa Appart'Hôtel Résidence Concorde,43.61194052,1.45180665
Villa du Taur,43.60765875,1.44204810
Le Relais Des Trois Mas,42.52417281,3.08931068
L'équinoxe,42.52715790,3.08326890
Les Roches Brunes,42.52534777,3.09032446
Mas de la Croette Collioure,42.52173350,3.07287380
2 appartements Rue du greffe,44.01703937,1.35448361
Le Machado,42.52613521,3.08221858
Boutique Hotel SOCLO,43.60536000,1.43826100
Suite privée avec piscine,44.04776511,1.35040889
COSYment parfait,44.01791946,1.35180471
Logement 2 chambres - Hypercentre Montauban,44.01578310,1.35598520
Charmant appartement 6 personnes - 1 min à pied hypercentre Montauban,44.02061690,1.35606060
In Town by BNB Conciergerie Montauban,44.01496720,1.35499620
Hôtel Cézanne Boutique-Hôtel,43.52356201,5.44593707
Negrecoste Hôtel & Spa,43.52684969,5.44901088
Golden Tulip Aix en Provence,43.52879731,5.42567968
Grand Hôtel Roi René Aix en Provence Centre - MGallery,43.52332474,5.44972569
Maison Jalon,43.57323483,5.41837934
Grand Hotel de l'Opera - BW Premier Collection,43.60385788,1.44400209
Aparthotel Adagio Aix-en-Provence Centre,43.52890621,5.44086903
Odalys City Toulouse Colombélie,43.60580900,1.45571900
Best Western Hotel Innes Toulouse Centre,43.61060878,1.44708797
Mercure Toulouse Centre Wilson Capitole,43.60474354,1.44867517
Le Mas des Citronniers,42.52538159,3.08256391
La Frégate,42.52638625,3.08325659
Hôtel de Brienne,43.60787870,1.43161699
Hôtel Princes de Catalogne,42.52591431,3.08268160
L'Escale des Libellules by BNB Conciergerie Mtban,44.01692547,1.35552350
Hotel Méditerranée,42.52708254,3.08026291
Résidence du Soleil,42.52311754,3.08542530
Le Madeloc Hôtel & Spa,42.52876467,3.07865426
Moustier,44.01036765,1.35776259
Les Chalets du Manoir,44.04659296,1.30665529
L'intimiste by BNB Conciergerie Montauban,44.02508340,1.36823230
B&B HOTEL Montauban,44.04011965,1.38602390
Hôtel Birdy by Happyculture,43.48142972,5.36561430
Kyriad Direct Montauban Centre,44.02246008,1.35816604
La Bastide de Ganay,43.60567000,5.42520000
Le Mas D'Entremont,43.55038715,5.42617321
Domaine de Saint Clair,43.49915642,5.43205649
Hotel Palladia,43.60638325,1.40045241
Odalys City Aix en Provence Les Floridianes,43.52133318,5.44477701
Citiz Hotel,43.60566998,1.44911170
L'Initial,43.54863754,1.39536560
Zenitude Hôtel-Résidences Le Parc de l'Escale,43.60596325,1.35816336
Résidence de Diane - Toulouse,43.55925979,1.36708707
Hotel Le Bon Port,42.52411449,3.08936566
Courtyard by Marriott Toulouse Airport,43.60766167,1.37080997
Le Clos Saint Elme,42.52328654,3.08136290
Ibanova Appartements,42.52313330,3.08557610
Appartement fonctionnel hauteurs de Collioure,42.52181349,3.07335784
Magnifique appartement proche centre Collioure,42.52182000,3.07730470
Les Chênes-lièges d'Ambeille,42.52396992,3.07731113
ibis budget Montauban Les Chaumes,44.00649224,1.38643178
Premiere Classe Montauban,43.98291262,1.33401543
Novotel Aix-en-Provence Pont de L'Arc,43.51169339,5.45698643
Novotel Aix-en-Provence Beaumanoir,43.51348220,5.46591148
Belvoir Sissi exclusif Appart piscine chauffée 10 min centre AixenPc,43.54644210,5.46626070
Bastide des Lauves,43.56310488,5.45465361
Hôtel Le Mozart,43.52191762,5.45787156
Novotel Toulouse Purpan Aéroport,43.60553305,1.39876261
thecamp hôtel Premium Lodge- Aix en Provence,43.49631600,5.34215200
Aparthotel Adagio Toulouse Centre Ramblas,43.60879028,1.45354271
Novotel Toulouse Centre Wilson,43.60512810,1.44693643
DOMITYS LES PAGELLES,43.62662600,1.45598900
Privilège Appart Hôtel Saint Exupéry,43.61012827,1.45140427
The Social Hub Toulouse,43.61005300,1.43037000
Résidence Saint Vincent,42.52730095,3.08423268
Duplex quartier piéton,42.52674400,3.08376720
Le charme de Collioure,42.52396280,3.08425040
location Coma Chéric,42.52307181,3.08747013
N.8 LIFESTYLE SUITES,43.52998900,5.45096000
Appartement de charme à 50m de la plage de sable,42.52388210,3.08440230
Collioure,42.52756930,3.08488170
Hôtel Triton,42.52371617,3.08713473
Appart Hôtel Clément Ader,43.60944452,1.44867584
